LaiSuat,TyLeBaoBam,NhuCauVon,PhanKyTraLai,ThanhPhanKinhTe,MaLoaiThue,custtpcdnm,LoaiHinhVay,TrangThaiHoTroLaiSuat,NganhKinhTe,NhomNo,DH-GN
8.2,100,1600000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,1800000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,920000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,100,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,280000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
9.0,0,80000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.1780821917808219
0.0,0,80000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.3095890410958904
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.07945205479452055
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.0821917808219178
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.9972602739726028
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.12876712328767123
7.9,100,1120000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,0,240000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,0,80000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Nông nghiệp,Nợ bình thường,1.0
9.0,0,120000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
9.9,100,1200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,3.0027397260273974
8.9,0,80000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
8.2,0,400000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.9,0,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.9,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.9,0,120000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
7.9,100,600000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
10.2,100,400000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,4.002739726027397
8.9,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.9,100,520000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,5.002739726027397
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.2
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.7178082191780822
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.9095890410958904
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.9972602739726028
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,1.0
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.9863013698630136
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,0,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
9.0,0,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
9.0,0,80000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
8.9,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,3.0027397260273974
8.2,100,880000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
9.0,100,120000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
8.9,0,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,0,120000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
8.2,0,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,1.0
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.19452054794520549
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.1178082191780822
9.0,0,280000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,2.0
8.9,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,100,1800000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
9.0,0,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.2,0,40000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Nông nghiệp,Nợ bình thường,1.0
9.0,0,320000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
10.2,100,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,400000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Nông nghiệp,Nợ bình thường,3.0027397260273974
9.0,0,160000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
9.0,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
8.9,0,200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay trung hạn (TK 212),Không hỗ trợ,Mua sắm và sửa chữa tài sản,Nợ bình thường,2.0
7.9,100,1200000000,3,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Vay ngắn hạn (TK 211),Không hỗ trợ,Buôn bán,Nợ bình thường,1.0
0.0,0,200000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,1.0
0.0,0,80000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,1.0
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.1726027397260274
0.0,0,200000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.7178082191780822
0.0,0,160000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.9863013698630136
0.0,0,200000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.16164383561643836
0.0,0,120000000,0,"Kinh tế cá thể, tiểu chủ",1001.0,Cá nhân,Thấu chi trên TK khách hàng,Không hỗ trợ,Ngành nghề khác,Nợ bình thường,0.10410958904109589
